iata,icao,name,city,country,tz,lat,lon
OCA,07FA,Ocean Reef Club Airport,Key Largo,US,America/New_York,25.325399,-80.274803
WKK,5A8,Aleknagik / New Airport,Aleknagik,US,America/Anchorage,59.2826004028,-158.617996216
BBQ,AG-0001,Burton-Nibbs International Airport,Codrington,AG,,17.621194,-61.798347
HIR,AGGH,Honiara International Airport,Honiara,SB,Pacific/Guadalcanal,-9.428,160.054993
MUA,AGGM,Munda Airport,Munda,SB,Pacific/Guadalcanal,-8.32797,157.263
INU,ANYN,Nauru International Airport,Yaren,NR,Pacific/Nauru,-0.547893,166.919525
WFR,AT98,(Duplicate)Wolf's Fang Runway,Queen Maud Island,AQ,,-71.5264,8.799459
AXF,AXF,Alxa Left Banner Bayanhot Airport,Bayanhot,CN,Asia/Shanghai,38.748317,105.58416
VMU,AYBA,Baimuru Airport,Baimuru,PG,Pacific/Port_Moresby,-7.496955,144.821756
BUA,AYBK,Buka Airport,Buka Island,PG,Pacific/Port_Moresby,-5.422299,154.672698
OPU,AYBM,Balimo Airport,Balimo,PG,Pacific/Port_Moresby,-8.05000019073,142.932998657
CMU,AYCH,Chimbu Airport,Kundiawa,PG,Pacific/Port_Moresby,-6.024290084838867,144.9709930419922
DAU,AYDU,Daru Airport,Daru,PG,Pacific/Port_Moresby,-9.08676,143.207993
GKA,AYGA,Goroka Airport,Goronka,PG,Pacific/Port_Moresby,-6.081689834590001,145.391998291
GUR,AYGN,Gurney Airport,Gurney,PG,Pacific/Port_Moresby,-10.3114995956,150.333999634
PNP,AYGR,Girua Airport,Popondetta,PG,Pacific/Port_Moresby,-8.80453968048,148.309005737
HKN,AYHK,Hoskins Airport,Kimbe,PG,Pacific/Port_Moresby,-5.463846,150.407327
KMA,AYKM,Kerema Airport,Kerema,PG,Pacific/Port_Moresby,-7.96361017227,145.770996094
KVG,AYKV,Kavieng Airport,Kavieng,PG,Pacific/Port_Moresby,-2.57940006256,150.807998657
MAG,AYMD,Madang Airport,Madang,PG,Pacific/Port_Moresby,-5.20707988739,145.789001465
HGU,AYMH,Mount Hagen Kagamuga Airport,Mount Hagen,PG,Pacific/Port_Moresby,-5.828212,144.299412
MDU,AYMN,Mendi Airport,Mendi,PG,Pacific/Port_Moresby,-6.14774,143.656998
MAS,AYMO,Momote Airport,Manus Island,PG,Pacific/Port_Moresby,-2.06189,147.423996
LAE,AYNZ,Nadzab Tomodachi International Airport,Lae,PG,Pacific/Port_Moresby,-6.567995,146.726544
POM,AYPY,Port Moresby Jacksons International Airport,Port Moresby,PG,Pacific/Port_Moresby,-9.443380355834961,147.22000122070312
RAB,AYTK,Tokua Airport,Kokopo,PG,Pacific/Port_Moresby,-4.34046,152.380005
VAI,AYVN,Vanimo Airport,Vanimo,PG,Pacific/Port_Moresby,-2.6926,141.3028
WBM,AYWD,Wapenamanda Airport,Wapenamanda,PG,Pacific/Port_Moresby,-5.635293,143.892231
WWK,AYWK,Wewak International Airport,Wewak,PG,Pacific/Port_Moresby,-3.58383011818,143.669006348
ZXT,AZ-0001,Zabrat Airport,Zabrat,AZ,Asia/Baku,40.494884,49.977065
BCW,BCW,Benguera Island Airport,Benguera Island,MZ,,-21.8533,35.438301
JAM,BG-JAM,Bezmer Air Base,Bezmer,BG,Europe/Sofia,42.454899,26.3522
JEG,BGAA,Aasiaat Airport,Aasiaat,GL,America/Nuuk,68.721802,-52.784698
CNP,BGCO,Neerlerit Inaat Airport,Neerlerit Inaat,GL,America/Scoresbysund,70.743103,-22.650499
GOH,BGGH,Nuuk International Airport,Nuuk,GL,America/Nuuk,64.191066,-51.67914
JAV,BGJN,Ilulissat Airport,Ilulissat,GL,America/Nuuk,69.243202,-51.057098
KUS,BGKK,Kulusuk Airport,Kulusuk,GL,America/Nuuk,65.573601,-37.1236
NAQ,BGQQ,Qaanaaq Airport,Qaanaaq,GL,America/Thule,77.488602,-69.388702
SFJ,BGSF,Kangerlussuaq International Airport,Kangerlussuaq,GL,America/Nuuk,67.010446,-50.715294
JHS,BGSS,Sisimiut Airport,Sisimiut,GL,America/Nuuk,66.951302,-53.729301
THU,BGTL,Pituffik Space Base,Pituffik,GL,America/Thule,76.53063,-68.700541
AEY,BIAR,Akureyri International Airport,Akureyri,IS,Atlantic/Reykjavik,65.656573,-18.072018
BIU,BIBD,Bildudalur Airport,Bildudalur,IS,Atlantic/Reykjavik,65.641296,-23.5462
EGS,BIEG,Egilsstaðir Airport,Egilsstaðir,IS,Atlantic/Reykjavik,65.2833023071289,-14.401399612426758
GRY,BIGR,Grímsey Airport,Grímsey/Sandvík,IS,Atlantic/Reykjavik,66.5458,-18.0173
HFN,BIHN,Hornafjörður Airport,Höfn,IS,Atlantic/Reykjavik,64.295601,-15.2272
HZK,BIHU,Húsavík Airport,Húsavík,IS,Atlantic/Reykjavik,65.952301,-17.426001
IFJ,BIIS,Ísafjörður Airport,Ísafjörður,IS,Atlantic/Reykjavik,66.058098,-23.1353
KEF,BIKF,Keflavik International Airport,Reykjavík,IS,Atlantic/Reykjavik,63.985001,-22.6056
RKV,BIRK,Reykjavík Domestic Airport,Reykjavík,IS,Atlantic/Reykjavik,64.128732,-21.93759
MVA,BIRL,Mývatn Airport,Myvatn,IS,Atlantic/Reykjavik,65.6558,-16.9181
SIJ,BISI,Siglufjörður Airport,Siglufjörður,IS,Atlantic/Reykjavik,66.137847,-18.908157
VEY,BIVM,Vestmannaeyjar Airport,Vestmannaeyjar,IS,Atlantic/Reykjavik,63.42430114746094,-20.278900146484375
VPN,BIVO,Vopnafjörður Airport,Vopnafjörður,IS,Atlantic/Reykjavik,65.720596,-14.8506
PRN,BKPR,Priština Adem Jashari International Airport,Prishtina,XK,Europe/Belgrade,42.5728,21.035801
VDC,BR-0569,Glauber de Andrade Rocha Airport,Vitória da Conquista,BR,America/Bahia,-14.907885,-40.914804
BTZ,BTZ,Betong International Airport,Betong,TH,Europe/Istanbul,5.79,101.15
TXC,BY-0001,Orsha Airport - Balbasovo Air Base,Orsha,BY,,54.439999,30.2967
CUK,BZ-CUK,Caye Caulker Airport,Caye Caulker,BZ,America/Belize,17.735015,-88.032862
CYC,BZ-CYC,Caye Chapel Airport,Caye Chapel,BZ,,17.683792,-88.044985
CZH,BZ-CZH,Corozal Airport,Corozal,BZ,,18.3822,-88.411903
DGA,BZ-DGA,Dangriga Airport,Dangriga,BZ,America/Belize,16.98251,-88.230988
SJX,BZ-SJX,Sartaneja Airport,Sartaneja,BZ,,18.3561,-88.130798
SPR,BZ-SPR,John Greif II Airport,San Pedro,BZ,,17.9139,-87.9711
TZA,BZ-TZA,Sir Barry Bowen Municipal Airport,Belize City,BZ,,17.517239,-88.195775
BZB,BZB,Bazaruto Island Airport,Bazaruto Island,MZ,,-21.5411,35.4729
YAA,CAJ4,Anahim Lake Airport,Anahim Lake,CA,America/Vancouver,52.451501,-125.303776
XQU,CAT4,Qualicum Beach Airport,Qualicum Beach,CA,America/Vancouver,49.337456,-124.393086
YZA,CAZ5,Cache Creek-Ashcroft Regional Airport,Cache Creek,CA,,50.775258,-121.321314
ZEL,CBBC,Bella Bella (Campbell Island) Airport,Bella Bella,CA,America/Vancouver,52.185001,-128.156994
BZX,CN-0062,Bazhong Enyang Airport,Bazhong,CN,Asia/Shanghai,31.73842,106.644872
HSC,CN-0079,Shaoguan Danxia Airport,Shaoguan,CN,Asia/Shanghai,24.9786,113.420998
JGS,CN-0081,Jinggangshan Airport,Ji'an,CN,Asia/Shanghai,26.856899,114.737
HNG,CN-0117,Hainanzhou Gonghe Airport,Hainan (Gonghe),CN,,36.3367,100.480003
JNH,CN-0154,Jiaxing Nanhu Airport,"Xiuzhou, Hangzhou",CN,Asia/Shanghai,30.698056,120.663056
WHN,CN-0178,Wuhan Hannan Municipal Airport,Wuhan (Hannan),CN,,30.25521,114.062805
DDR,CN-0236,Shigatse Tingri Airport,Xigazê (Dingri),CN,Asia/Shanghai,28.604567,86.798
HQL,CN-0237,Tashikuergan Hongqilafu Airport,Tashikuergan,CN,Asia/Shanghai,37.661333,75.288877
JDE,CN-0253,Jiande Qiandaohu General Airport,Hangzhou,CN,,29.360905,119.180829
APJ,CN-0354,Ali Pulan Airport,Burang Town,CN,Asia/Shanghai,30.397898,81.13317
ZAT,CN-0421,Zhaotong Zhaoyang Airport （Not fully opened),Zhaotong,CN,Asia/Shanghai,27.205843,103.691511
BFY,CN-0476,Bengbu Tenghu Airport,Bengbu,CN,Asia/Shanghai,33.166292,117.058344
YAG,CYAG,Fort Frances Municipal Airport,Fort Frances,CA,America/Winnipeg,48.655749,-93.44349
YAH,CYAH,La Grande-4 Airport,La Grande-4,CA,America/Toronto,53.754699707,-73.6753005981
YAM,CYAM,Sault Ste Marie Airport,Sault Ste Marie,CA,America/Toronto,46.483216,-84.508467
XKS,CYAQ,Kasabonika Airport,Kasabonika,CA,America/Toronto,53.52470016479492,-88.6427993774414
YAY,CYAY,St. Anthony Airport,St. Anthony,CA,America/St_Johns,51.391909,-56.08321
YAZ,CYAZ,Tofino / Long Beach Airport,Tofino,CA,America/Vancouver,49.079833,-125.775583
YBC,CYBC,Baie-Comeau Airport,Baie-Comeau,CA,America/Toronto,49.1325,-68.204399
QBC,CYBD,Bella Coola Airport,Bella Coola,CA,America/Vancouver,52.387501,-126.596001
YBY,CYBF,Bonnyville Airport,Bonnyville,CA,America/Edmonton,54.304199,-110.744003
YBG,CYBG,Saguenay-Bagotville Airport,Saguenay,CA,America/Toronto,48.330123,-70.992012
YBK,CYBK,Baker Lake Airport,Baker Lake,CA,America/Winnipeg,64.29889678960001,-96.077796936
YBL,CYBL,Campbell River Airport,Campbell River,CA,America/Vancouver,49.950802,-125.271004
YBR,CYBR,Brandon Municipal Airport,Brandon,CA,America/Winnipeg,49.91,-99.951897
YBX,CYBX,Lourdes-de-Blanc-Sablon Airport,Blanc-Sablon,CA,America/Blanc-Sablon,51.4436,-57.185299
YCB,CYCB,Cambridge Bay Airport,Cambridge Bay,CA,America/Edmonton,69.1081008911,-105.138000488
YCC,CYCC,Cornwall Regional Airport,Cornwall,CA,America/Toronto,45.092637,-74.567724
YCD,CYCD,Nanaimo Airport,Nanaimo,CA,America/Vancouver,49.05497,-123.869863
YCE,CYCE,Centralia / James T. Field Memorial Aerodrome,Huron Park,CA,America/Toronto,43.285599,-81.508301
YCG,CYCG,Castlegar/West Kootenay Regional Airport,Castlegar,CA,America/Vancouver,49.296398,-117.632004
YCH,CYCH,Miramichi Airport,Miramichi,CA,America/Halifax,47.007801,-65.449203
YCL,CYCL,Charlo Airport,Charlo,CA,America/Halifax,47.990799,-66.330299
YCN,CYCN,Cochrane Airport,Cochrane,CA,America/Toronto,49.10559844970703,-81.01360321044922
YCQ,CYCQ,Chetwynd Airport,Chetwynd,CA,America/Dawson_Creek,55.687198638916016,-121.62699890136719
YDA,CYDA,Dawson City Airport,Dawson City,CA,America/Vancouver,64.04309844970703,-139.1280059814453
YDB,CYDB,Burwash Airport,Burwash Landing,CA,America/Vancouver,61.371101,-139.041
YDF,CYDF,Deer Lake Airport,Deer Lake,CA,America/St_Johns,49.208159,-57.396147
XRR,CYDM,Ross River Airport,Ross River,CA,America/Whitehorse,61.9706001282,-132.42300415
YDN,CYDN,Dauphin Barker Airport,Dauphin,CA,America/Winnipeg,51.1008,-100.052002
YDO,CYDO,Dolbeau-Saint-Felicien Airport,Dolbeau-Saint-Felicien,CA,America/Toronto,48.7785,-72.375
YDQ,CYDQ,Dawson Creek Airport,Dawson Creek,CA,America/Dawson_Creek,55.741245,-120.183263
YEG,CYEG,Edmonton International Airport,Edmonton,CA,America/Edmonton,53.3097,-113.580002
YEL,CYEL,Elliot Lake Municipal Airport,Elliot Lake,CA,America/Toronto,46.351398468,-82.5614013672
YEM,CYEM,Manitoulin East Municipal Airport,Sheguiandah,CA,America/Toronto,45.842435,-81.857595
YEN,CYEN,Estevan Airport,Estevan,CA,America/Regina,49.2103004456,-102.966003418
YET,CYET,Edson Airport,Edson,CA,America/Edmonton,53.578899383499994,-116.464996338
YEV,CYEV,Inuvik Mike Zubko Airport,Inuvik,CA,America/Inuvik,68.30419921880001,-133.483001709
YEY,CYEY,Amos/Magny Airport,Amos,CA,America/Toronto,48.563903,-78.249702
YFB,CYFB,Iqaluit Airport,Iqaluit,CA,America/Toronto,63.756402,-68.555801
YFC,CYFC,Fredericton International Airport,Fredericton,CA,America/Moncton,45.868697,-66.529891
YFE,CYFE,Forestville Airport,Forestville,CA,America/Toronto,48.74610137939453,-69.09719848632812
YTM,CYFJ,Mont-Tremblant International Airport,La Macaza,CA,America/Toronto,46.409401,-74.779999
YFR,CYFR,Fort Resolution Airport,Fort Resolution,CA,America/Edmonton,61.1808013916,-113.690002441
YFS,CYFS,Fort Simpson Airport,Fort Simpson,CA,America/Edmonton,61.76020050048828,-121.23699951171875
YGK,CYGK,Kingston Norman Rogers Airport,Kingston,CA,America/Toronto,44.2253,-76.596901
YGL,CYGL,La Grande Rivière Airport,La Grande Rivière,CA,America/Toronto,53.625301361083984,-77.7042007446289
YGM,CYGM,Gimli Industrial Park Airport,Gimli,CA,America/Winnipeg,50.62810134887695,-97.04329681396484
YGP,CYGP,Michel-Pouliot Gaspé Airport,Gaspé,CA,America/Toronto,48.774915,-64.481893
YGQ,CYGQ,Geraldton Greenstone Regional Airport,Geraldton,CA,America/Toronto,49.77830123901367,-86.93939971923828
YGR,CYGR,Îles-de-la-Madeleine Airport,Les Îles-de-la-Madeleine,CA,America/Toronto,47.425242,-61.778612
YGV,CYGV,Havre-Saint-Pierre Airport,Havre-Saint-Pierre,CA,America/Toronto,50.281898,-63.611401
YGW,CYGW,Kuujjuarapik Airport,Kuujjuarapik,CA,America/Toronto,55.281898498535156,-77.76529693603516
YHD,CYHD,Dryden Regional Airport,Dryden,CA,America/Winnipeg,49.831699,-92.744202
YHF,CYHF,Hearst René Fontaine Municipal Airport,Hearst,CA,America/Toronto,49.71419906616211,-83.68609619140625
YHM,CYHM,John C. Munro Hamilton International Airport,Hamilton,CA,America/Toronto,43.17348,-79.931185
YHN,CYHN,Hornepayne Municipal Airport,Hornepayne,CA,America/Toronto,49.19309997558594,-84.75890350341797
YHT,CYHT,Haines Junction Airport,Haines Junction,CA,America/Whitehorse,60.7892,-137.546005
YHU,CYHU,Montréal / Saint-Hubert Metropolitan Airport,Montréal,CA,America/Toronto,45.517502,-73.416901
YHY,CYHY,Hay River / Merlyn Carter Airport,Hay River,CA,America/Yellowknife,60.8396987915,-115.782997131
YHZ,CYHZ,Halifax / Stanfield International Airport,Halifax,CA,America/Halifax,44.8807983398,-63.5085983276
YIB,CYIB,Atikokan Municipal Airport,Atikokan,CA,America/Panama,48.773899,-91.638603
YDG,CYID,Digby / Annapolis Regional Airport,Digby,CA,America/Halifax,44.5458450365,-65.7854247093
YIF,CYIF,St Augustin Airport,St-Augustin,CA,America/Blanc-Sablon,51.2117,-58.658298
YIV,CYIV,Island Lake Airport,Island Lake,CA,America/Winnipeg,53.857200622558594,-94.65360260009766
YJF,CYJF,Fort Liard Airport,Fort Liard,CA,America/Yellowknife,60.235801696799996,-123.46900177
YJN,CYJN,St Jean Airport,St Jean,CA,America/Toronto,45.29439926147461,-73.28109741210938
YJT,CYJT,Stephenville Dymond International Airport,Stephenville,CA,America/St_Johns,48.54339,-58.552892
YKA,CYKA,Kamloops John Moose Fulton Field Regional Airport,Kamloops,CA,America/Vancouver,50.703038,-120.448641
YKF,CYKF,Region of Waterloo International Airport,Breslau,CA,America/Toronto,43.4608,-80.378601
YKJ,CYKJ,Key Lake Airport,Key Lake,CA,America/Regina,57.256099700927734,-105.61799621582031
YKL,CYKL,Schefferville Airport,Schefferville,CA,America/Toronto,54.805301666259766,-66.8052978515625
YKD,CYKM,Kincardine Municipal Airport,Kincardine,CA,America/Toronto,44.201401,-81.606697
YKX,CYKX,Kirkland Lake Airport,Kirkland Lake,CA,America/Toronto,48.21030044555664,-79.98139953613281
YKY,CYKY,Kindersley Airport,Kindersley,CA,America/Regina,51.5175018311,-109.180999756
YLD,CYLD,Chapleau Airport,Chapleau,CA,America/Toronto,47.81999969482422,-83.3467025756836
YLJ,CYLJ,Meadow Lake Airport,Meadow Lake,CA,America/Regina,54.125301361083984,-108.52300262451172
YLL,CYLL,Lloydminster Airport,Lloydminster,CA,America/Edmonton,53.3092,-110.072998
YLR,CYLR,Leaf Rapids Airport,Leaf Rapids,CA,America/Winnipeg,56.513301849365234,-99.98529815673828
YLK,CYLS,Barrie-Lake Simcoe Regional Airport,Barrie,CA,America/Toronto,44.485056,-79.554663
YLT,CYLT,Alert Airport,Alert,CA,America/Toronto,82.517263,-62.283037
YLW,CYLW,Kelowna International Airport,Kelowna,CA,America/Vancouver,49.9561,-119.377998
YMA,CYMA,Mayo Airport,Mayo,CA,America/Vancouver,63.61640167236328,-135.8679962158203
YME,CYME,Matane Airport,Matane,CA,America/Toronto,48.85689926147461,-67.45330047607422
YMG,CYMG,Manitouwadge Airport,Manitouwadge,CA,America/Toronto,49.083900451660156,-85.86060333251953
YMJ,CYMJ,Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,CA,America/Regina,50.330299377441406,-105.55899810791016
YML,CYML,Charlevoix Airport,Charlevoix,CA,America/Toronto,47.59749984741211,-70.2238998413086
YMM,CYMM,Fort McMurray International Airport,Fort McMurray,CA,America/Edmonton,56.653301,-111.222
YMO,CYMO,Moosonee Airport,Moosonee,CA,America/Toronto,51.291099548339844,-80.60780334472656
YMT,CYMT,Chapais Airport,Chibougamau,CA,America/Toronto,49.77190017700195,-74.5280990600586
YMX,CYMX,Montreal Mirabel International Airport,Montréal,CA,America/Toronto,45.679501,-74.038696
YNA,CYNA,Natashquan Airport,Natashquan,CA,America/Toronto,50.190114,-61.78898
YND,CYND,Ottawa / Gatineau Airport,Gatineau,CA,America/Toronto,45.521702,-75.563599
YLY,CYNJ,Langley Airport,Langley,CA,America/Vancouver,49.1008,-122.630997
YNL,CYNL,Points North Landing Airport,Points North Landing,CA,America/Regina,58.27669906616211,-104.08200073242188
YNM,CYNM,Matagami Airport,Matagami,CA,America/Toronto,49.76169967651367,-77.80280303955078
YOA,CYOA,Ekati Airport,Ekati,CA,America/Edmonton,64.6988983154,-110.614997864
YOD,CYOD,CFB Cold Lake,Cold Lake,CA,America/Edmonton,54.404998779296875,-110.27899932861328
YOJ,CYOJ,High Level Airport,High Level,CA,America/Edmonton,58.62139892578125,-117.16500091552734
YOO,CYOO,Oshawa Executive Airport,Oshawa,CA,America/Toronto,43.922798,-78.894997
YOP,CYOP,Rainbow Lake Airport,Rainbow Lake,CA,America/Edmonton,58.491402,-119.407997
YOS,CYOS,Owen Sound / Billy Bishop Regional Airport,Owen Sound,CA,America/Toronto,44.5903015137,-80.8375015259
YOW,CYOW,Ottawa Macdonald-Cartier International Airport,Ottawa,CA,America/Toronto,45.322498,-75.669197
YPA,CYPA,Prince Albert Glass Field,Prince Albert,CA,America/Regina,53.214199066199996,-105.672996521
YPS,CYPD,Port Hawkesbury Airport,Port Hawkesbury,CA,America/Halifax,45.6567001343,-61.3680992126
YPE,CYPE,Peace River Airport,Peace River,CA,America/Edmonton,56.226898,-117.446999
YPG,CYPG,Portage-la-Prairie / Southport Airport,Portage la Prairie,CA,America/Winnipeg,49.903099,-98.273817
YPL,CYPL,Pickle Lake Airport,Pickle Lake,CA,America/Panama,51.4463996887207,-90.21420288085938
YPN,CYPN,Port-Menier Airport,Port-Menier,CA,America/Toronto,49.836399,-64.288597
YPQ,CYPQ,Peterborough Regional Airport,Peterborough,CA,America/Toronto,44.232251,-78.362053
YPR,CYPR,Prince Rupert Airport,Prince Rupert,CA,America/Vancouver,54.286098480199996,-130.445007324
YPW,CYPW,Powell River Airport,Powell River,CA,America/Vancouver,49.83420181274414,-124.5
YPX,CYPX,Puvirnituq Airport,Puvirnituq,CA,America/Toronto,60.050598,-77.286903
YPY,CYPY,Fort Chipewyan Airport,Fort Chipewyan,CA,America/Edmonton,58.7672004699707,-111.11699676513672
YPZ,CYPZ,Burns Lake Airport,Burns Lake,CA,America/Vancouver,54.3764,-125.950996
YQA,CYQA,Muskoka Airport,Gravenhurst,CA,America/Toronto,44.975376,-79.306546
YQB,CYQB,Quebec Jean Lesage International Airport,Quebec,CA,America/Toronto,46.7911,-71.393303
YQD,CYQD,The Pas Airport,The Pas,CA,America/Winnipeg,53.97140121459961,-101.09100341796875
YQF,CYQF,Red Deer Regional Airport,Springbrook,CA,America/Edmonton,52.182201,-113.893997
YQG,CYQG,Windsor International Airport,Windsor,CA,America/Toronto,42.2756,-82.955597
YQH,CYQH,Watson Lake Airport,Watson Lake,CA,America/Vancouver,60.116839,-128.821993
YQI,CYQI,Yarmouth Airport,Yarmouth,CA,America/Halifax,43.826900482177734,-66.08809661865234
YQK,CYQK,Kenora Airport,Kenora,CA,America/Winnipeg,49.788299560546875,-94.36309814453125
YQL,CYQL,Lethbridge County Airport,Lethbridge,CA,America/Edmonton,49.6302986145,-112.800003052
YQM,CYQM,Greater Moncton Roméo LeBlanc International Airport,Moncton,CA,America/Halifax,46.113189,-64.67719
YQN,CYQN,Nakina Airport,Nakina,CA,America/Toronto,50.18280029296875,-86.69640350341797
YQQ,CYQQ,Comox Valley International Airport / CFB Comox,Comox,CA,America/Vancouver,49.7108,-124.887001
YQR,CYQR,Regina International Airport,Regina,CA,America/Regina,50.431938,-104.660906
YQS,CYQS,St Thomas Municipal Airport,St Thomas,CA,America/Toronto,42.77000045776367,-81.11080169677734
YQT,CYQT,Thunder Bay International Airport,Thunder Bay,CA,America/Thunder_Bay,48.371899,-89.323898
YQU,CYQU,Grande Prairie Airport,Grande Prairie,CA,America/Edmonton,55.1796989441,-118.885002136
YQV,CYQV,Yorkton Municipal Airport,Yorkton,CA,America/Regina,51.264702,-102.461998
YQW,CYQW,North Battleford Airport,North Battleford,CA,America/Regina,52.769409,-108.243742
YQX,CYQX,Gander International Airport,Gander,CA,America/St_Johns,48.936258,-54.567719
YQY,CYQY,Sydney / J.A. Douglas McCurdy Airport,Sydney,CA,America/Glace_Bay,46.161072,-60.049759
YQZ,CYQZ,Quesnel Airport,Quesnel,CA,America/Vancouver,53.026100158691406,-122.51000213623047
YRB,CYRB,Resolute Bay Airport,Resolute Bay,CA,America/Winnipeg,74.7169036865,-94.9693984985
YRI,CYRI,Rivière-du-Loup Airport,Rivière-du-Loup,CA,America/Toronto,47.764400482177734,-69.58470153808594
YRJ,CYRJ,Roberval Airport,Roberval,CA,America/Toronto,48.519665,-72.265735
YRL,CYRL,Red Lake Airport,Red Lake,CA,America/Winnipeg,51.066898345947266,-93.79309844970703
YRO,CYRO,Ottawa / Rockcliffe Airport,Ottawa,CA,America/Toronto,45.460496,-75.644001
YRQ,CYRQ,Trois-Rivières Airport,Trois-Rivières,CA,America/Toronto,46.35279846191406,-72.67939758300781
YRT,CYRT,Rankin Inlet Airport,Rankin Inlet,CA,America/Winnipeg,62.8114013672,-92.1157989502
YRV,CYRV,Revelstoke Airport,Revelstoke,CA,America/Vancouver,50.962245,-118.184258
YSB,CYSB,Sudbury Airport,Sudbury,CA,America/Toronto,46.625,-80.79889678955078
YSC,CYSC,Sherbrooke Airport,Sherbrooke,CA,America/Toronto,45.438599,-71.691399
YSF,CYSF,Stony Rapids Airport,Stony Rapids,CA,America/Regina,59.250301361083984,-105.84100341796875
YSH,CYSH,Smiths Falls-Montague (Russ Beach) Airport,Smiths Falls,CA,America/Toronto,44.945801,-75.940598
YSJ,CYSJ,Saint John Airport,Saint John,CA,America/Halifax,45.31610107421875,-65.89029693603516
YSL,CYSL,Saint-Léonard Airport,Saint-Léonard,CA,America/Moncton,47.157097,-67.836242
YSM,CYSM,Fort Smith Airport,Fort Smith,CA,America/Edmonton,60.020302,-111.961998
YCM,CYSN,Niagara District Airport,Niagara-on-the-Lake,CA,America/Toronto,43.191598,-79.171686
YSP,CYSP,Marathon Airport,Marathon,CA,America/Toronto,48.75529861450195,-86.34439849853516
YSU,CYSU,Summerside Airport,Slemon Park,CA,America/Halifax,46.440601,-63.833599
YTA,CYTA,Pembroke Airport,Pembroke,CA,America/Toronto,45.86439895629883,-77.25170135498047
YTF,CYTF,Alma Airport,Alma,CA,America/Toronto,48.5089,-71.641899
YTH,CYTH,Thompson Airport,Thompson,CA,America/Winnipeg,55.80110168457031,-97.86419677734375
YTR,CYTR,CFB Trenton,Trenton,CA,America/Toronto,44.118900299072266,-77.5280990600586
YTS,CYTS,Timmins/Victor M. Power,Timmins,CA,America/Toronto,48.569698333699996,-81.376701355
YTZ,CYTZ,Billy Bishop Toronto City Airport,Toronto,CA,America/Toronto,43.627852,-79.39553
YUL,CYUL,Montreal / Pierre Elliott Trudeau International Airport,Montréal,CA,America/Toronto,45.467837,-73.742294
YUX,CYUX,Hall Beach Airport,Sanirajak,CA,America/Toronto,68.7761,-81.2425
YUY,CYUY,Rouyn Noranda Airport,Rouyn-Noranda,CA,America/Toronto,48.20610046386719,-78.83560180664062
YVB,CYVB,Bonaventure Airport,Bonaventure,CA,America/Toronto,48.071098,-65.460297
YVC,CYVC,La Ronge Airport,La Ronge,CA,America/Regina,55.151401519800004,-105.262001038
YVE,CYVK,Vernon Regional Airport,Vernon,CA,America/Vancouver,50.246163,-119.330963
YVO,CYVO,Val-d'Or Airport,Val-d'Or,CA,America/Toronto,48.0532989502,-77.7827987671
YVP,CYVP,Kuujjuaq Airport,Kuujjuaq,CA,America/Toronto,58.096099853515625,-68.4269027709961
YVQ,CYVQ,Norman Wells Airport,Norman Wells,CA,America/Edmonton,65.28160095214844,-126.7979965209961
YVR,CYVR,Vancouver International Airport,Vancouver,CA,America/Vancouver,49.193901,-123.183998
YVV,CYVV,Wiarton Airport,Wiarton,CA,America/Toronto,44.7458,-81.107201
YWG,CYWG,Winnipeg / James Armstrong Richardson International Airport,Winnipeg,CA,America/Winnipeg,49.909999847399995,-97.2398986816
YWK,CYWK,Wabush Airport,Wabush,CA,America/Halifax,52.92190170288086,-66.8644027709961
YWL,CYWL,Williams Lake Airport,Williams Lake,CA,America/Vancouver,52.1831016541,-122.054000854
YWY,CYWY,Wrigley Airport,Wrigley,CA,America/Edmonton,63.20940017700195,-123.43699645996094
YXC,CYXC,Cranbrook/Canadian Rockies International Airport,Cranbrook,CA,America/Edmonton,49.610802,-115.781998
YXE,CYXE,Saskatoon John G. Diefenbaker International Airport,Saskatoon,CA,America/Regina,52.170723,-106.700793
YXH,CYXH,Medicine Hat Regional Airport,Medicine Hat,CA,America/Edmonton,50.018902,-110.721001
YXJ,CYXJ,Fort St John / North Peace Regional Airport,Fort Saint John,CA,America/Dawson_Creek,56.238098,-120.739998
YXK,CYXK,Rimouski Airport,Rimouski,CA,America/Toronto,48.477644,-68.496323
YXL,CYXL,Sioux Lookout Airport,Sioux Lookout,CA,America/Winnipeg,50.11389923095703,-91.9052963256836
YXQ,CYXQ,Beaver Creek Airport,Beaver Creek,CA,America/Whitehorse,62.410301208496094,-140.86700439453125
YXR,CYXR,Earlton (Timiskaming Regional) Airport,Earlton,CA,America/Toronto,47.697400654599996,-79.8473453522
YXS,CYXS,Prince George (International) Airport,Prince George,CA,America/Vancouver,53.884311,-122.666554
YXT,CYXT,Northwest Regional Airport Terrace-Kitimat,Terrace,CA,America/Vancouver,54.468498,-128.576009
YXU,CYXU,London International Airport,London,CA,America/Toronto,43.032845,-81.149003
YXX,CYXX,Abbotsford International Airport,Abbotsford,CA,America/Vancouver,49.025299,-122.361
YXY,CYXY,Whitehorse / Erik Nielsen International Airport,Whitehorse,CA,America/Whitehorse,60.708533,-135.065705
YXZ,CYXZ,Wawa Airport,Wawa,CA,America/Toronto,47.96670150756836,-84.78669738769531
